sample	study_id	site	label	label_abbrev
A59	MB17003	Bushbuckridge	bushbuckridge_1	BBR1
A60	MB17004	Bushbuckridge	bushbuckridge_2	BBR2
A61	MB17006	Bushbuckridge	bushbuckridge_3	BBR3
A62	MB17007	Bushbuckridge	bushbuckridge_4	BBR4
A63	MB17009	Bushbuckridge	bushbuckridge_5	BBR5
A64	MB17010	Bushbuckridge	bushbuckridge_6	BBR6
A66	MB17012	Bushbuckridge	bushbuckridge_7	BBR7
A67	MB17013	Bushbuckridge	bushbuckridge_8	BBR8
A68	MB17015	Bushbuckridge	bushbuckridge_9	BBR9
A69	MB17016	Bushbuckridge	bushbuckridge_10	BBR10
A70	MB17017	Bushbuckridge	bushbuckridge_11	BBR11
A71	MB17018	Bushbuckridge	bushbuckridge_12	BBR12
A72	MB17019	Bushbuckridge	bushbuckridge_13	BBR13
A73	MB17020	Bushbuckridge	bushbuckridge_14	BBR14
A75	MB17022	Bushbuckridge	bushbuckridge_15	BBR15
A77	MB17024	Bushbuckridge	bushbuckridge_16	BBR16
A78	MB17025	Bushbuckridge	bushbuckridge_17	BBR17
A79	MB17026	Bushbuckridge	bushbuckridge_18	BBR18
B1	MB17027	Bushbuckridge	bushbuckridge_19	BBR19
B10	MB17038	Bushbuckridge	bushbuckridge_20	BBR20
B11	MB17039	Bushbuckridge	bushbuckridge_21	BBR21
B12	MB17040	Bushbuckridge	bushbuckridge_22	BBR22
B13	MB17041	Bushbuckridge	bushbuckridge_23	BBR23
B14	MB17042	Bushbuckridge	bushbuckridge_24	BBR24
B15	MB17043	Bushbuckridge	bushbuckridge_25	BBR25
B16	MB17044	Bushbuckridge	bushbuckridge_26	BBR26
B17	MB17045	Bushbuckridge	bushbuckridge_27	BBR27
B18	MB17047	Bushbuckridge	bushbuckridge_28	BBR28
B2	MB17028	Bushbuckridge	bushbuckridge_29	BBR29
B20	MB17049	Bushbuckridge	bushbuckridge_30	BBR30
B22	MB17051	Bushbuckridge	bushbuckridge_31	BBR31
B23	MB17052	Bushbuckridge	bushbuckridge_32	BBR32
B24	MB17053	Bushbuckridge	bushbuckridge_33	BBR33
B25	MB17054	Bushbuckridge	bushbuckridge_34	BBR34
B26	MB17055	Bushbuckridge	bushbuckridge_35	BBR35
B27	MB17056	Bushbuckridge	bushbuckridge_36	BBR36
B28	MB17057	Bushbuckridge	bushbuckridge_37	BBR37
B29	MB17058	Bushbuckridge	bushbuckridge_38	BBR38
B30	MB17059	Bushbuckridge	bushbuckridge_39	BBR39
B31	MB17061	Bushbuckridge	bushbuckridge_40	BBR40
B32	MB17062	Bushbuckridge	bushbuckridge_41	BBR41
B33	MB17063	Bushbuckridge	bushbuckridge_42	BBR42
B34	MB17064	Bushbuckridge	bushbuckridge_43	BBR43
B36	MB17066	Bushbuckridge	bushbuckridge_44	BBR44
B37	MB17067	Bushbuckridge	bushbuckridge_45	BBR45
B38	MB17070	Bushbuckridge	bushbuckridge_46	BBR46
B39	MB17071	Bushbuckridge	bushbuckridge_47	BBR47
B4	MB17030	Bushbuckridge	bushbuckridge_48	BBR48
B40	MB17072	Bushbuckridge	bushbuckridge_49	BBR49
B41	MB17073	Bushbuckridge	bushbuckridge_50	BBR50
B42	MB17075	Bushbuckridge	bushbuckridge_51	BBR51
B43	MB17076	Bushbuckridge	bushbuckridge_52	BBR52
B44	MB17077	Bushbuckridge	bushbuckridge_53	BBR53
B45	MB17078	Bushbuckridge	bushbuckridge_54	BBR54
B46	MB17079	Bushbuckridge	bushbuckridge_55	BBR55
B47	MB17080	Bushbuckridge	bushbuckridge_56	BBR56
B48	MB17081	Bushbuckridge	bushbuckridge_57	BBR57
B49	MB17082	Bushbuckridge	bushbuckridge_58	BBR58
B5	MB17031	Bushbuckridge	bushbuckridge_59	BBR59
B50	MB17083	Bushbuckridge	bushbuckridge_60	BBR60
B52	MB17085	Bushbuckridge	bushbuckridge_61	BBR61
B55	MB17088	Bushbuckridge	bushbuckridge_62	BBR62
B56	MB17091	Bushbuckridge	bushbuckridge_63	BBR63
B57	MB17092	Bushbuckridge	bushbuckridge_64	BBR64
B58	MB17093	Bushbuckridge	bushbuckridge_65	BBR65
B59	MB17094	Bushbuckridge	bushbuckridge_66	BBR66
B61	MB17096	Bushbuckridge	bushbuckridge_67	BBR67
B62	MB17097	Bushbuckridge	bushbuckridge_68	BBR68
B63	MB17098	Bushbuckridge	bushbuckridge_69	BBR69
B65	MB17100	Bushbuckridge	bushbuckridge_70	BBR70
B66	MB17101	Bushbuckridge	bushbuckridge_71	BBR71
B67	MB17102	Bushbuckridge	bushbuckridge_72	BBR72
B68	MB17103	Bushbuckridge	bushbuckridge_73	BBR73
B69	MB17104	Bushbuckridge	bushbuckridge_74	BBR74
B7	MB17033	Bushbuckridge	bushbuckridge_75	BBR75
B70	MB17105	Bushbuckridge	bushbuckridge_76	BBR76
B71	MB17106	Bushbuckridge	bushbuckridge_77	BBR77
B72	MB17014	Bushbuckridge	bushbuckridge_78	BBR78
B73	MB17037	Bushbuckridge	bushbuckridge_79	BBR79
B74	MB17046	Bushbuckridge	bushbuckridge_80	BBR80
B75	MB17068	Bushbuckridge	bushbuckridge_81	BBR81
B76	MB17069	Bushbuckridge	bushbuckridge_82	BBR82
B77	MB17074	Bushbuckridge	bushbuckridge_83	BBR83
B78	MB17034	Bushbuckridge	bushbuckridge_84	BBR84
B8	MB17035	Bushbuckridge	bushbuckridge_85	BBR85
B9	MB17036	Bushbuckridge	bushbuckridge_86	BBR86
C1	CBSNC	Bushbuckridge	bushbuckridge_87	BBR87
C10	HEJHE	Bushbuckridge	bushbuckridge_88	BBR88
C11	DFEZM	Bushbuckridge	bushbuckridge_89	BBR89
C12	EDFHQ	Bushbuckridge	bushbuckridge_90	BBR90
C13	HDWHX	Bushbuckridge	bushbuckridge_91	BBR91
C14	JQKFV	Bushbuckridge	bushbuckridge_92	BBR92
C15	HVFJZ	Bushbuckridge	bushbuckridge_93	BBR93
C16	FRGPC	Bushbuckridge	bushbuckridge_94	BBR94
C17	CTBOZ	Bushbuckridge	bushbuckridge_95	BBR95
C18	GWBHF	Bushbuckridge	bushbuckridge_96	BBR96
C19	BKHRQ	Bushbuckridge	bushbuckridge_97	BBR97
C2	DZWHL	Bushbuckridge	bushbuckridge_98	BBR98
C20	ELHZE	Bushbuckridge	bushbuckridge_99	BBR99
C21	KLHYD	Bushbuckridge	bushbuckridge_100	BBR100
C22	JRWPH	Bushbuckridge	bushbuckridge_101	BBR101
C23	BZEHG	Bushbuckridge	bushbuckridge_102	BBR102
C24	FQOSV	Bushbuckridge	bushbuckridge_103	BBR103
C25	BQNHZ	Bushbuckridge	bushbuckridge_104	BBR104
C26	CCLEW	Bushbuckridge	bushbuckridge_105	BBR105
C27	CLLYS	Bushbuckridge	bushbuckridge_106	BBR106
C28	EKZCV	Bushbuckridge	bushbuckridge_107	BBR107
C29	HGRSG	Bushbuckridge	bushbuckridge_108	BBR108
C3	CQGFO	Bushbuckridge	bushbuckridge_109	BBR109
C30	HFZEJ	Bushbuckridge	bushbuckridge_110	BBR110
C31	KDRZJ	Bushbuckridge	bushbuckridge_111	BBR111
C32	DGXFV	Bushbuckridge	bushbuckridge_112	BBR112
C33	JLNGC	Bushbuckridge	bushbuckridge_113	BBR113
C4	HPRXQ	Bushbuckridge	bushbuckridge_114	BBR114
C5	DZPJR	Bushbuckridge	bushbuckridge_115	BBR115
C6	EZWQX	Bushbuckridge	bushbuckridge_116	BBR116
C8	DKWHW	Bushbuckridge	bushbuckridge_117	BBR117
C9	JXTVM	Bushbuckridge	bushbuckridge_118	BBR118
A1	1186710	Soweto	soweto_1	SWT1
A10	2031518	Soweto	soweto_2	SWT2
A11	2123689	Soweto	soweto_3	SWT3
A12	2146745	Soweto	soweto_4	SWT4
A13	2266332	Soweto	soweto_5	SWT5
A15	2554637	Soweto	soweto_6	SWT6
A16	3379474	Soweto	soweto_7	SWT7
A17	3480141	Soweto	soweto_8	SWT8
A18	3602219	Soweto	soweto_9	SWT9
A19	3663723	Soweto	soweto_10	SWT10
A2	1333396	Soweto	soweto_11	SWT11
A21	3924929	Soweto	soweto_12	SWT12
A22	3956441	Soweto	soweto_13	SWT13
A24	4233802	Soweto	soweto_14	SWT14
A25	4858889	Soweto	soweto_15	SWT15
A26	4971044	Soweto	soweto_16	SWT16
A27	CAWOD	Soweto	soweto_17	SWT17
A28	CAX0E	Soweto	soweto_18	SWT18
A29	CBY0H	Soweto	soweto_19	SWT19
A30	CBZOI	Soweto	soweto_20	SWT20
A31	CCJOV	Soweto	soweto_21	SWT21
A32	CCPOB	Soweto	soweto_22	SWT22
A33	CDKOY	Soweto	soweto_23	SWT23
A34	CFI0B	Soweto	soweto_24	SWT24
A35	CFVOM	Soweto	soweto_25	SWT25
A36	CHPOL	Soweto	soweto_26	SWT26
A37	CKQOT	Soweto	soweto_27	SWT27
A38	CKXOB	Soweto	soweto_28	SWT28
A39	CLNOT	Soweto	soweto_29	SWT29
A4	1499095	Soweto	soweto_30	SWT30
A41	CQMOC	Soweto	soweto_31	SWT31
A42	CRCOS	Soweto	soweto_32	SWT32
A43	CRXON	Soweto	soweto_33	SWT33
A44	CSK0E	Soweto	soweto_34	SWT34
A45	CVQON	Soweto	soweto_35	SWT35
A46	CWIOI	Soweto	soweto_36	SWT36
A47	CWQ0Q	Soweto	soweto_37	SWT37
A48	CXCOE	Soweto	soweto_38	SWT38
A49	DBGOS	Soweto	soweto_39	SWT39
A50	DBT0G	Soweto	soweto_40	SWT40
A51	DCGOV	Soweto	soweto_41	SWT41
A52	DDPOG	Soweto	soweto_42	SWT42
A53	DDWOM	Soweto	soweto_43	SWT43
A54	DDZ0Q	Soweto	soweto_44	SWT44
A55	DEROK	Soweto	soweto_45	SWT45
A56	DGEOC	Soweto	soweto_46	SWT46
A57	DGV05	Soweto	soweto_47	SWT47
A58	DHHOH	Soweto	soweto_48	SWT48
A6	1597674	Soweto	soweto_49	SWT49
A9	1930043	Soweto	soweto_50	SWT50
B79	4152135	Soweto	soweto_51	SWT51
